Index,landing_site
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-08,kizimkazi dimbani
2022-09-08,kizimkazi dimbani
2022-09-08,msuka
2022-09-08,msuka
2022-09-08,msuka
2022-09-08,kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-04-12,tanga
2022-05-14,tanga
2022-05-16,tanga
2022-05-18,tanga
2022-05-19,tanga
2022-05-25,tanga
2022-05-30,tanga
2022-06-01,tanga
2022-06-01,tanga
2022-06-01,tanga
2022-06-08,tanga
2022-06-12,tanga
2022-06-13,tanga
2022-07-18,tanga
2022-07-19,tanga
2022-07-25,tanga
2022-07-25,tanga
2022-07-26,tanga
2022-08-02,tanga
2022-08-04,tanga
2022-08-04,tanga
2022-08-13,tanga
2022-08-13,tanga
2022-08-15,tanga
2022-08-16,tanga
2022-08-18,tanga
2022-08-22,tanga
2022-08-22,tanga
2022-08-22,tanga
2022-08-22,tanga
2022-08-29,tanga
2022-08-29,tanga
2022-08-29,tanga
2022-08-30,tanga
2022-09-05,tanga
2022-09-05,tanga
2022-09-05,tanga
2022-09-06,tanga
2022-09-06,tanga
2022-08-09,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
2022-09-12,bwawani
,
2022-09-13,kizimkazi dimbani
2022-09-13,kizimkazi dimbani
,
2022-09-12,tanga
2022-09-12,tanga
2022-09-15,msuka
2022-09-15,msuka
2022-09-19,mkokotoni
2022-09-14,tanga
2022-09-19,tanga
2022-09-20,mkokotoni
2022-09-20,kizimkazi dimbani
2022-09-20,mkokotoni
2022-09-20,mkokotoni
2022-09-20,msuka
2022-09-20,msuka
2022-09-19,tanga
2022-09-14,tanga
2022-09-14,tanga
2022-09-19,tanga
2022-05-25,tanga
2022-05-25,tanga
2022-09-14,tanga
2022-09-14,tanga
2022-09-22,kizimkazi dimbani
2022-09-22,kizimkazi dimbani
2022-09-22,kizimkazi dimbani
2022-09-22,kizimkazi dimbani
2022-09-22,msuka
2022-09-22,msuka
2022-09-22,msuka
2022-08-09,bwawani
2022-08-09,bwawani
2022-08-09,bwawani
2022-09-19,bwawani
2022-09-19,bwawani
2022-09-19,bwawani
2022-09-19,bwawani
2022-09-27,mkokotoni
2022-09-26,tanga
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-28,kizimkazi dimbani
2022-09-19,shangani
2022-09-19,shangani
2022-09-22,shangani
2022-09-26,shangani
2022-09-26,shangani
2022-09-26,shangani
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-27,tanga
2022-09-27,bwawani
2022-09-27,bwawani
2022-09-29,msuka
2022-09-05,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-10-03,tanga
2022-10-03,tanga
2022-10-03,tanga
2022-10-04,kizimkazi dimbani
2022-10-03,mkokotoni
2022-10-04,mkokotoni
2022-10-04,mkokotoni
2022-10-04,mkokotoni
2022-10-04,msuka
2022-10-04,msuka
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-10-04,tanga
2022-10-07,kizimkazi dimbani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,mkokotoni
2022-10-11,kizimkazi dimbani
2022-10-11,kizimkazi dimbani
2022-10-11,mkokotoni
2022-09-06,bwawani
2022-09-06,bwawani
2022-09-06,bwawani
2022-10-11,mkokotoni
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-04,tanga
2022-10-04,tanga
2022-10-11,tanga
2022-10-11,tanga
2022-10-11,tanga
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-10,bwawani
2022-10-12,tanga
2022-10-13,msuka
2022-10-13,msuka
2022-10-13,kizimkazi dimbani
